IDs;Initial Pvalue;Adjusted Pvalue;Fold Change
n8HRing;1.00000;1.00000;0.000
n9HRing;1.00000;1.00000;0.000
n10HRing;1.00000;1.00000;0.000
n11HRing;1.00000;1.00000;0.000
n12HRing;1.00000;1.00000;0.000
nG12HRing;1.00000;1.00000;0.000
n3aRing;1.00000;1.00000;0.000
n4aRing;1.00000;1.00000;0.000
n7aRing;1.00000;1.00000;0.000
n8aRing;1.00000;1.00000;0.000
n9aRing;1.00000;1.00000;0.000
n10aRing;1.00000;1.00000;0.000
n11aRing;1.00000;1.00000;0.000
n12aRing;1.00000;1.00000;0.000
nG12aRing;1.00000;1.00000;0.000
n3aHRing;1.00000;1.00000;0.000
n4aHRing;1.00000;1.00000;0.000
n6aHRing;1.00000;1.00000;0.000
n7aHRing;1.00000;1.00000;0.000
n8aHRing;1.00000;1.00000;0.000
n9aHRing;1.00000;1.00000;0.000
n10aHRing;1.00000;1.00000;0.000
n11aHRing;1.00000;1.00000;0.000
n12aHRing;1.00000;1.00000;0.000
nG12aHRing;1.00000;1.00000;0.000
n3ARing_1;1.00000;1.00000;0.000
n4ARing_1;1.00000;1.00000;0.000
n6ARing_1;1.00000;1.00000;0.000
n7ARing_1;1.00000;1.00000;0.000
n8ARing_1;1.00000;1.00000;0.000
n9ARing_1;1.00000;1.00000;0.000
n10ARing_1;1.00000;1.00000;0.000
n11ARing_1;1.00000;1.00000;0.000
n12ARing_1;1.00000;1.00000;0.000
nG12ARing_1;1.00000;1.00000;0.000
n3AHRing_1;1.00000;1.00000;0.000
n4AHRing_1;1.00000;1.00000;0.000
n6AHRing_1;1.00000;1.00000;0.000
n7AHRing_1;1.00000;1.00000;0.000
n8AHRing_1;1.00000;1.00000;0.000
n9AHRing_1;1.00000;1.00000;0.000
n10AHRing_1;1.00000;1.00000;0.000
n11AHRing_1;1.00000;1.00000;0.000
n12AHRing_1;1.00000;1.00000;0.000
nG12AHRing_1;1.00000;1.00000;0.000
n4FRing;1.00000;1.00000;0.000
n5FRing;1.00000;1.00000;0.000
n6FRing;1.00000;1.00000;0.000
n7FRing;1.00000;1.00000;0.000
n8FRing;1.00000;1.00000;0.000
n10FRing;1.00000;1.00000;0.000
n11FRing;1.00000;1.00000;0.000
n12FRing;1.00000;1.00000;0.000
nG12FRing;1.00000;1.00000;0.000
n4FHRing;1.00000;1.00000;0.000
n5FHRing;1.00000;1.00000;0.000
n6FHRing;1.00000;1.00000;0.000
n7FHRing;1.00000;1.00000;0.000
n8FHRing;1.00000;1.00000;0.000
n10FHRing;1.00000;1.00000;0.000
n11FHRing;1.00000;1.00000;0.000
n12FHRing;1.00000;1.00000;0.000
nG12FHRing;1.00000;1.00000;0.000
n4FaRing;1.00000;1.00000;0.000
n5FaRing;1.00000;1.00000;0.000
n6FaRing;1.00000;1.00000;0.000
n7FaRing;1.00000;1.00000;0.000
n8FaRing;1.00000;1.00000;0.000
n10FaRing;1.00000;1.00000;0.000
n11FaRing;1.00000;1.00000;0.000
